game_version,mod_version,file_id,uploaded_at,file_name,file_url
"1.21.1","4.22.0","6681034","Jun 22, 2025","Super Factory Manager (SFM)-MC1.21.1-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681034"
"1.21","4.22.0","6681032","Jun 22, 2025","Super Factory Manager (SFM)-MC1.21-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681032"
"1.20.4","4.22.0","6681029","Jun 22, 2025","Super Factory Manager (SFM)-MC1.20.4-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681029"
"1.20.3","4.22.0","6681026","Jun 22, 2025","Super Factory Manager (SFM)-MC1.20.3-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681026"
"1.20.2","4.22.0","6681021","Jun 22, 2025","Super Factory Manager (SFM)-MC1.20.2-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681021"
"1.20.1","4.22.0","6681020","Jun 22, 2025","Super Factory Manager (SFM)-MC1.20.1-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681020"
"1.20","4.22.0","6681015","Jun 22, 2025","Super Factory Manager (SFM)-MC1.20-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681015"
"1.19.4","4.22.0","6681012","Jun 22, 2025","Super Factory Manager (SFM)-MC1.19.4-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681012"
"1.19.2","4.22.0","6681007","Jun 22, 2025","Super Factory Manager (SFM)-MC1.19.2-4.22.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6681007"
"1.21.1","4.21.0","6361523","Mar 29, 2025","Super Factory Manager (SFM)-MC1.21.1-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361523"
"1.21","4.21.0","6361521","Mar 29, 2025","Super Factory Manager (SFM)-MC1.21-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361521"
"1.20.4","4.21.0","6361517","Mar 29, 2025","Super Factory Manager (SFM)-MC1.20.4-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361517"
"1.20.3","4.21.0","6361508","Mar 29, 2025","Super Factory Manager (SFM)-MC1.20.3-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361508"
"1.20.2","4.21.0","6361507","Mar 29, 2025","Super Factory Manager (SFM)-MC1.20.2-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361507"
"1.20.1","4.21.0","6361501","Mar 29, 2025","Super Factory Manager (SFM)-MC1.20.1-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361501"
"1.20","4.21.0","6361497","Mar 29, 2025","Super Factory Manager (SFM)-MC1.20-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361497"
"1.19.4","4.21.0","6361495","Mar 29, 2025","Super Factory Manager (SFM)-MC1.19.4-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361495"
"1.19.2","4.21.0","6361486","Mar 29, 2025","Super Factory Manager (SFM)-MC1.19.2-4.21.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6361486"
"1.21.1","4.20.0","6218942","Feb 21, 2025","Super Factory Manager (SFM)-MC1.21.1-4.20.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6218942"
"1.21","4.20.0","6218941","Feb 21, 2025","Super Factory Manager (SFM)-MC1.21-4.20.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6218941"
"1.20.4","4.20.0","6218939","Feb 21, 2025","Super Factory Manager (SFM)-MC1.20.4-4.20.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6218939"
"1.20.3","4.20.0","6218938","Feb 21, 2025","Super Factory Manager (SFM)-MC1.20.3-4.20.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6218938"
